10959    ;Locatie client                                         ;233      ;CL0027                                                 ;SG Kleinwort Hambros Bank Limited                                                                                                                          ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
10798    ;Locatie client                                         ;235      ;CL0065                                                 ;SG International Limited                                                                                                                                   ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
11270    ;Locatie client                                         ;239      ;CL0130                                                 ;SOCIETE GENERALE HAMBROS BANK LIMITED - FINREP SOL                                                                                                         ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
11000    ;Locatie client                                         ;243      ;CL0023                                                 ;SOCIETE GENERALE PARIS, ZURICH BRANCH (HR)                                                                                                                 ;SOCIETE GENERALE ZURICH BRANCH                                                                                                                             ;MCLI0037                                               ;
244      ;Locatie client                                         ;244      ;CL0011                                                 ;SOCIETE GENERALE HRCO/PRO/TRA/BUC                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
246      ;Locatie client                                         ;246      ;CL0013                                                 ;SOCIETE GENERALE HRCO/ELE/DPL (E-LEARNING)                                                                                                                 ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
247      ;Locatie client                                         ;247      ;CL0014                                                 ;SOCIETE GENERALE HRCO/PRO/SOL                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
11317    ;Locatie client                                         ;249      ;CL0016                                                 ;SOCIETE GENERALE DFIN/DOM/PTP/CSP                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
11033    ;Locatie client                                         ;254      ;CL0031                                                 ;SOCIETE GENERALE DRHG/EXP                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10795    ;Locatie client                                         ;255      ;CL0034                                                 ;SOCIETE GENERALE DFIN/DOM/ACR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
256      ;Locatie client                                         ;256      ;CL0035                                                 ;SOCIETE GENERALE HRCO/ELE/DPL                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
257      ;Locatie client                                         ;257      ;CL0036                                                 ;SOCIETE GENERALE HRCO/COO/ASR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
11290    ;Locatie client                                         ;259      ;CL0039                                                 ;SOCIETE GENERALE GTS/COO/SVM                                                                                                                               ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
260      ;Locatie client                                         ;260      ;CL0040                                                 ;SOCIETE GENERALE HRCO/SSC/ADM/DIR                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
261      ;Locatie client                                         ;261      ;CL0041                                                 ;SOCIETE GENERALE HRCO/SSC/GIE                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
262      ;Locatie client                                         ;262      ;CL0042                                                 ;SOCIETE GENERALE HRCO/SSC/PAI/DIR                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
263      ;Locatie client                                         ;263      ;CL0043                                                 ;SOCIETE GENERALE HRCO/SSC/DIR (CEL)                                                                                                                        ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
267      ;Locatie client                                         ;267      ;CL0049                                                 ;SOCIETE GENERALE GBSU/COO/TPO                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
11129    ;Locatie client                                         ;268      ;CL0052                                                 ;SOCIETE GENERALE ITEC/CTT/TRA                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
11311    ;Locatie client                                         ;277      ;CL0063                                                 ;SOCIETE GENERALE GBSU/HUM                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10793    ;Locatie client                                         ;279      ;CL0066                                                 ;SOCIETE GENERALE DFIN/EMR/DIR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
