1917     ;IMO_2132_006                                      ;Dell USB Docking Station D3100                                                                      ;Dell USB Docking Station D3100                                                                      ;Dell USB Docking Sta                                                                                ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1918     ;IMO_2132_007                                      ;Universal Dock - D6000                                                                              ;Universal Dock - D6000                                                                              ;Universal Dock - D60                                                                                ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1919     ;IMO_2132_008                                      ;Port replicator D3100                                                                               ;Port replicator D3100                                                                               ;Port replicator D310                                                                                ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1920     ;IMO_2132_011                                      ;USB Docking Station                                                                                 ;USB Docking Station                                                                                 ;USB Docking Station                                                                                 ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1921     ;IMO_2132_012                                      ;Brat monitor                                                                                        ;Brat monitor                                                                                        ;Brat monitor                                                                                        ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1922     ;IMO_2132_013                                      ;Laptop STD                                                                                          ;Laptop STD                                                                                          ;Laptop STD                                                                                          ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1923     ;IMO_2132_014                                      ;Laptop NSTD                                                                                         ;Laptop NSTD                                                                                         ;Laptop NSTD                                                                                         ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1924     ;IMO_2132_015                                      ;Server                                                                                              ;Server                                                                                              ;Server                                                                                              ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1925     ;IMO_2132_016                                      ;Server - componente                                                                                 ;Server - componente                                                                                 ;Server - componente                                                                                 ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1926     ;IMO_2132_017                                      ;Server - consola                                                                                    ;Server - consola                                                                                    ;Server - consola                                                                                    ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1927     ;IMO_2132_018                                      ;Server DomainController                                                                             ;Server DomainController                                                                             ;Server DomainControl                                                                                ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1928     ;IMO_2132_019                                      ;Monitor NSTD                                                                                        ;Monitor NSTD                                                                                        ;Monitor NSTD                                                                                        ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1929     ;IMO_2132_020                                      ;Monitor STD                                                                                         ;Monitor STD                                                                                         ;Monitor STD                                                                                         ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1930     ;IMO_2132_043                                      ;Monitor                                                                                             ;Monitor                                                                                             ;Monitor                                                                                             ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1931     ;IMO_2132_021                                      ;Alte echipamente tehnice IT                                                                         ;Alte echipamente tehnice IT                                                                         ;Alte echipamente teh                                                                                ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1932     ;IMO_2132_042                                      ;Imprimanta.                                                                                         ;Imprimanta                                                                                          ;Imprimanta.                                                                                         ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1933     ;IMO_2132_022                                      ;Imprimanta STD                                                                                      ;Imprimanta STD                                                                                      ;Imprimanta STD                                                                                      ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1934     ;IMO_2132_023                                      ;Imprimanta NSTD                                                                                     ;Imprimanta NSTD                                                                                     ;Imprimanta NSTD                                                                                     ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1935     ;IMO_2132_024                                      ;Asus sistem brand G11CB (COM. DEPT.)                                                                ;Asus sistem brand G11CB (COM. DEPT.)                                                                ;Asus sistem brand G1                                                                                ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1936     ;IMO_2132_025                                      ;Desktop high end                                                                                    ;Desktop high end                                                                                    ;Desktop high end                                                                                    ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1937     ;IMO_2132_026                                      ;Desktop low end                                                                                     ;Desktop low end                                                                                     ;Desktop low end                                                                                     ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1938     ;IMO_2132_027                                      ;Thin Client.                                                                                        ;Thin Client                                                                                         ;Thin Client.                                                                                        ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1939     ;IMO_2132_028                                      ;Telefon Mobil_                                                                                      ;Telefon Mobil                                                                                       ;Telefon Mobil_                                                                                      ;27255    ;213201                   ;MFIX_2132                                                                                           ;NONIT                                                  ;
1940     ;IMO_2132_029                                      ;Cosco Phone                                                                                         ;Cosco Phone                                                                                         ;Cosco Phone                                                                                         ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1941     ;IMO_2132_030                                      ;Cisco Phone                                                                                         ;Cisco Phone                                                                                         ;Cisco Phone                                                                                         ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1942     ;IMO_2132_031                                      ;Cisco Conference Phone                                                                              ;Cisco Conference Phone                                                                              ;Cisco Conference Pho                                                                                ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1943     ;IMO_2132_032                                      ;BE7M-M4-K9-Hardware  upgrade telefonie                                                              ;BE7M-M4-K9-Hardware  upgrade telefonie                                                              ;BE7M-M4-K9-Hardware                                                                                 ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1944     ;IMO_2132_033                                      ;Tableta                                                                                             ;Tableta                                                                                             ;Tableta                                                                                             ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1945     ;IMO_2132_034                                      ;Prodesk                                                                                             ;Prodesk                                                                                             ;Prodesk                                                                                             ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1946     ;IMO_2132_035                                      ;Switch                                                                                              ;Switch                                                                                              ;Switch                                                                                              ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1947     ;IMO_2132_036                                      ;Montaj / Instalare  echipamente IT                                                                  ;Montaj / Instalare  echipamente IT                                                                  ;Montaj / Instalare                                                                                  ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1948     ;IMO_2132_037                                      ;Infrastructura fibra optica Rolink                                                                  ;Infrastructura fibra optica Rolink                                                                  ;Infrastructura fibra                                                                                ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1949     ;IMO_2132_038                                      ;Consola joc                                                                                         ;Consola joc                                                                                         ;Consola joc                                                                                         ;27255    ;213201                   ;MFIX_2132                                                                                           ;NONIT                                                  ;
1950     ;IMO_2132_039                                      ;MFT                                                                                                 ;MFT                                                                                                 ;MFT                                                                                                 ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1951     ;IMO_2132_040                                      ;Server DomainController.                                                                            ;Server DomainController                                                                             ;Server DomainController.                                                                            ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1952     ;IMO_2132_041                                      ;Alte echipamente IT                                                                                 ;Alte echipamente IT                                                                                 ;Alte echipamente IT                                                                                 ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1953     ;IMO_2132_044                                      ;Alte amenajari                                                                                      ;Alte amenajari                                                                                      ;Alte amenajari                                                                                      ;27255    ;213201                   ;MFIX_2132                                                                                           ;NONIT                                                  ;
1961     ;IMO_214_008                                       ;Televizor                                                                                           ;Televizor                                                                                           ;Televizor                                                                                           ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
2134     ;EBS000000002                                      ;Telefon mobil mijloc fix                                                                            ;                                                                                                    ;Telefon mobil mijloc fix                                                                            ;27255    ;213201                   ;MFIX_2132                                                                                           ;                                                       ;
2216     ;IMO_2132_045                                      ;Aparat Foto_                                                                                        ;Aparat Foto_                                                                                        ;Aparat Foto_                                                                                        ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
2321     ;IMO_2132_046                                      ;Casti VR                                                                                            ;Monitor NSTD                                                                                        ;                                                                                                    ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
