637      ;Locatie client           ;4005     ;FZ0437                                                 ;INSTITUTUL BANCAR ROMAN  4362607                                                                                                                           ;INSTITUTUL BANCAR ROMAN                                                                                                                                    ;MCLI0035                                               ;                                                       ;UE                       ;
638      ;Locatie client           ;4006     ;FZ0248                                                 ;BIZNES POLSKA SP ZOO  5252542648                                                                                                                           ;BIZNES POLSKA SP ZOO                                                                                                                                       ;MFZ0089                                                ;00-241 WARSZAWA                                        ;UE                       ;
639      ;Locatie client           ;4007     ;FZ0060                                                 ;PACOMP S.A.  6253584                                                                                                                                       ;PACOMP S.A.                                                                                                                                                ;MFZ0090                                                ;                                                       ;UE                       ;
640      ;Locatie client           ;4008     ;FZ0002                                                 ;GROUPAMA ASIGURARI SA  6291812                                                                                                                             ;Groupama Asigurari SA                                                                                                                                      ;MCLI0007                                               ;                                                       ;UE                       ;
641      ;Locatie client           ;4009     ;FZ0340                                                 ;REZIDOR HOTEL AMSTERDAM BV  8108.31.272.B.01                                                                                                               ;Rezidor Hotel Amsterdam BV                                                                                                                                 ;MFZ0093                                                ;----                                                   ;UE                       ;
642      ;Locatie client           ;4010     ;FZ0328                                                 ;FUNDATIA TEATRU FARA FRONTIERE  9045952                                                                                                                    ;FUNDATIA TEATRU FARA FRONTIERE                                                                                                                             ;MFZ0094                                                ;                                                       ;UE                       ;
662      ;Locatie client           ;4030     ;FZ0393                                                 ;SCC TECHNOLOGY SOLUTIONS PROV  FR41424982650                                                                                                               ;SCC TECHNOLOGY SOLUTIONS PROV                                                                                                                              ;MFZ0124                                                ;                                                       ;UE                       ;
663      ;Locatie client           ;4031     ;FZ0669                                                 ;SOFTWAREONE FRANCE SAS  FR45521976993                                                                                                                      ;SoftwareONE France SAS                                                                                                                                     ;MFZ0125                                                ;----                                                   ;UE                       ;
664      ;Locatie client           ;4032     ;FZ0301                                                 ;MANAGEMENT MOBILITY CONSULTING  FR487649451                                                                                                                ;Management Mobility Consulting                                                                                                                             ;MFZ0126                                                ;                                                       ;UE                       ;
665      ;Locatie client           ;4033     ;FZ0505                                                 ;SA AXWAY SOFTWARE  FR49433977980                                                                                                                           ;SA AXWAY SOFTWARE                                                                                                                                          ;MFZ0127                                                ;                                                       ;UE                       ;
666      ;Locatie client           ;4034     ;FZ0051                                                 ;TEAM RELOCATIONS (TRANSEURO)  FR53418304010                                                                                                                ;TEAM RELOCATIONS (TRANSEURO)                                                                                                                               ;MFZ0128                                                ;                                                       ;UE                       ;
667      ;Locatie client           ;4035     ;FZ0327                                                 ;HOTEL TOURAINE OPERA  FR59333193399                                                                                                                        ;HOTEL TOURAINE OPERA                                                                                                                                       ;MFZ0129                                                ;----                                                   ;UE                       ;
668      ;Locatie client           ;4036     ;FZ0014                                                 ;FIRST FINANCE  FR67489455584                                                                                                                               ;First Finance                                                                                                                                              ;MFZ0130                                                ;                                                       ;UE                       ;
669      ;Locatie client           ;4037     ;FZ0029                                                 ;INSIGHT TECHNOLOGY SOLUTIONS  FR74397888330                                                                                                                ;INSIGHT TECHNOLOGY SOLUTIONS                                                                                                                               ;MFZ0131                                                ;                                                       ;UE                       ;
670      ;Locatie client           ;4038     ;FZ0278                                                 ;EDITIONS FRANCIS LEFEBVRE  FR76414740852                                                                                                                   ;EDITIONS FRANCIS LEFEBVRE                                                                                                                                  ;MFZ0132                                                ;----                                                   ;UE                       ;
671      ;Locatie client           ;4039     ;FZ0493                                                 ;SAS HN SERVICES  FR79328544713                                                                                                                             ;SAS HN SERVICES                                                                                                                                            ;MFZ0133                                                ;----                                                   ;UE                       ;
672      ;Locatie client           ;4040     ;FZ0577                                                 ;HOTEL ALEXANDER SAS  FR80417738994                                                                                                                         ;HOTEL ALEXANDER SAS                                                                                                                                        ;MFZ0134                                                ;----                                                   ;UE                       ;
673      ;Locatie client           ;4041     ;FZ0618                                                 ;SNC INVEST HOTELS MARSEILLE  FR83382873024                                                                                                                 ;SNC INVEST HOTELS MARSEILLE                                                                                                                                ;MFZ0135                                                ;----                                                   ;UE                       ;
674      ;Locatie client           ;4042     ;FZ0516                                                 ;SAS ADAGIO S.A.S  FR84503938110                                                                                                                            ;SAS ADAGIO S.A.S                                                                                                                                           ;MFZ0136                                                ;----                                                   ;UE                       ;
675      ;Locatie client           ;4043     ;FZ0492                                                 ;SARL SEV SOC. D'EXPLOITAT. V.  FR84509494852                                                                                                               ;SARL SEV SOC. D'EXPLOITAT. V.                                                                                                                              ;MFZ0137                                                ;----                                                   ;UE                       ;
676      ;Locatie client           ;4044     ;FZ0623                                                 ;SAS CHATEAUFORM' FRANCE  FR85402559595                                                                                                                     ;SAS CHATEAUFORM' FRANCE                                                                                                                                    ;MFZ0138                                                ;----                                                   ;UE                       ;
677      ;Locatie client           ;4045     ;FZ0143                                                 ;THIBIERGE ET ASSOCIES  FR85784349946                                                                                                                       ;THIBIERGE ET ASSOCIES                                                                                                                                      ;MFZ0139                                                ;75384 PARIS CEDEX                                      ;UE                       ;
678      ;Locatie client           ;4046     ;FZ0599                                                 ;HOTEL PLAZA ETOILE (EMERAUDE)  FR88325283091                                                                                                               ;HOTEL PLAZA ETOILE (EMERAUDE)                                                                                                                              ;MFZ0140                                                ;----                                                   ;UE                       ;
679      ;Locatie client           ;4047     ;FZ0039                                                 ;OBIFIVE  FR89451382865                                                                                                                                     ;OBIFIVE                                                                                                                                                    ;MFZ0141                                                ;PARIS, FRANCE                                          ;UE                       ;
699      ;Locatie client           ;4067     ;FZ0126                                                 ;LUKOIL ROMANIA SRL  RO10547022                                                                                                                             ;LUKOIL ROMANIA SRL                                                                                                                                         ;MFZ0178                                                ;                                                       ;UE                       ;
700      ;Locatie client           ;4068     ;FZ0027                                                 ;EDENRED  RO10696741                                                                                                                                        ;EDENRED                                                                                                                                                    ;MFZ0179                                                ;                                                       ;UE                       ;
701      ;Locatie client           ;4069     ;FZ0489                                                 ;A.C.A. ALIS & CRIS & ADI S.R.L.  RO10820962                                                                                                                ;A.C.A. ALIS & CRIS & ADI S.R.L.                                                                                                                            ;MFZ0180                                                ;----                                                   ;UE                       ;
702      ;Locatie client           ;4070     ;FZ0093                                                 ;OFFICE MAX SRL  RO10839469                                                                                                                                 ;OFFICE MAX SRL                                                                                                                                             ;MCLI0015                                               ;BUCURESTI                                              ;UE                       ;
703      ;Locatie client           ;4071     ;FZ0636                                                 ;M.G.T. EDUCATIONAL S.R.L.  RO11005950                                                                                                                      ;M.G.T. EDUCATIONAL S.R.L.                                                                                                                                  ;MFZ0182                                                ;                                                       ;UE                       ;
704      ;Locatie client           ;4072     ;FZ0115                                                 ;OMV PETROM MARKETING  RO11201891                                                                                                                           ;OMV PETROM MARKETING                                                                                                                                       ;MFZ0183                                                ;                                                       ;UE                       ;
705      ;Locatie client           ;4073     ;FZ0152                                                 ;PIETROASA SA  RO1153002                                                                                                                                    ;PIETROASA SA                                                                                                                                               ;MFZ0184                                                ;JUDET BUZAU                                            ;UE                       ;
706      ;Locatie client           ;4074     ;FZ0057                                                 ;BUSINESS TRAINING ROMANIA SRL  RO11552728                                                                                                                  ;BUSINESS TRAINING ROMANIA SRL                                                                                                                              ;MCLI0006                                               ;                                                       ;UE                       ;
707      ;Locatie client           ;4075     ;FZ0615                                                 ;BARNETT MCCALL RECRUITMENT  RO11577960                                                                                                                     ;BARNETT McCALL RECRUITMENT                                                                                                                                 ;MFZ0186                                                ;                                                       ;UE                       ;
708      ;Locatie client           ;4076     ;FZ0201                                                 ;HUMAN INVEST  RO11577986                                                                                                                                   ;HUMAN INVEST                                                                                                                                               ;MFZ0187                                                ;----                                                   ;UE                       ;
709      ;Locatie client           ;4077     ;FZ0360                                                 ;CARREFOUR ROMANIA SRL  RO11588780                                                                                                                          ;CARREFOUR ROMANIA SRL                                                                                                                                      ;MFZ0188                                                ;                                                       ;UE                       ;
710      ;Locatie client           ;4078     ;FZ0170                                                 ;DIRECT CLIENT SERVICES SRL  RO11648548                                                                                                                     ;DIRECT CLIENT SERVICES SRL                                                                                                                                 ;MFZ0189                                                ;----                                                   ;RO                       ;
711      ;Locatie client           ;4079     ;FZ0372                                                 ;TRACON ELECTRIC SRL  RO11774546                                                                                                                            ;TRACON ELECTRIC SRL                                                                                                                                        ;MFZ0190                                                ;                                                       ;UE                       ;
712      ;Locatie client           ;4080     ;FZ0633                                                 ;PENTALOG ROMANIA SRL  RO12123007                                                                                                                           ;PENTALOG ROMANIA SRL                                                                                                                                       ;MFZ0191                                                ;                                                       ;UE                       ;
713      ;Locatie client           ;4081     ;FZ0149                                                 ;DUAL PROMO SRL  RO12189354                                                                                                                                 ;DUAL PROMO SRL                                                                                                                                             ;MFZ0192                                                ;SECTOR 6, BUCURESTI                                    ;UE                       ;
714      ;Locatie client           ;4082     ;FZ0649                                                 ;RINA SIMTEX ORGANISMUL DE CERTIFICARE SRL  RO12351790                                                                                                      ;RINA SIMTEX ORGANISMUL DE CERTIFICARE SRL                                                                                                                  ;MFZ0193                                                ;----                                                   ;RO                       ;
715      ;Locatie client           ;4083     ;FZ0195                                                 ;KTEL CENTER SRL  RO12461636                                                                                                                                ;KTEL CENTER SRL                                                                                                                                            ;MFZ0194                                                ;BUCURESTI                                              ;UE                       ;
735      ;Locatie client           ;4103     ;FZ0064                                                 ;FLOR-ALL DISTRIBUTION SRL  RO13866840                                                                                                                      ;FLOR-ALL DISTRIBUTION SRL                                                                                                                                  ;MFZ0215                                                ;                                                       ;UE                       ;
736      ;Locatie client           ;4104     ;FZ0082                                                 ;EUREST ROM SRL  RO13904170                                                                                                                                 ;EUREST ROM SRL                                                                                                                                             ;MFZ0216                                                ;SECTOR 2, BUCURESTI                                    ;UE                       ;
737      ;Locatie client           ;4105     ;FZ0156                                                 ;F64 STUDIO SRL  RO14080808                                                                                                                                 ;F64 STUDIO SRL                                                                                                                                             ;MFZ0217                                                ;BUCURESTI                                              ;UE                       ;
