265      ;Locatie client                                         ;265      ;CL0045                                                 ;SOCIETE GENERALE ITEC/DPR/GEF                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
266      ;Locatie client                                         ;266      ;CL0048                                                 ;SOCIETE GENERALE DFIN/DOM/ACR - TRANSACTIS                                                                                                                 ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
267      ;Locatie client                                         ;267      ;CL0049                                                 ;SOCIETE GENERALE GBSU/COO/TPO                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
268      ;Locatie client                                         ;268      ;CL0052                                                 ;SOCIETE GENERALE ITEC/CTT/TRA                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
269      ;Locatie client                                         ;269      ;CL0053                                                 ;SOCIETE GENERALE GBSU/FRM/CEQ                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
270      ;Locatie client                                         ;270      ;CL0054                                                 ;SOCIETE GENERALE GBIS/COOS/PPP                                                                                                                             ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
271      ;Locatie client                                         ;271      ;CL0055                                                 ;SOCIETE GENERALE DRHG/HBS/DIR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
272      ;Locatie client                                         ;272      ;CL0056                                                 ;SOCIETE GENERALE ITEC/CTT/SOL                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
273      ;Locatie client                                         ;273      ;CL0057                                                 ;SOCIETE GENERALE ITEC/RRF/APR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
274      ;Locatie client                                         ;274      ;CL0058                                                 ;SOCIETE GENERALE ITEC/RRF/MID                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
275      ;Locatie client                                         ;275      ;CL0060                                                 ;SOCIETE GENERALE RESG/GTS/TFO/COO/VDF                                                                                                                      ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
276      ;Locatie client                                         ;276      ;CL0062                                                 ;SOCIETE GENERALE GBSU/FTB/LTL                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
277      ;Locatie client                                         ;277      ;CL0063                                                 ;SOCIETE GENERALE GBSU/HUMN                                                                                                                                 ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
278      ;Locatie client                                         ;278      ;CL0064                                                 ;SOCIETE GENERALE TRA/GBIS                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10793    ;Locatie client                                         ;279      ;CL0066                                                 ;SOCIETE GENERALE DFIN/EMR/DIR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
280      ;Locatie client                                         ;280      ;CL0067                                                 ;SOCIETE GENERALE DEVL/HUB/PRO                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
281      ;Locatie client                                         ;281      ;CL0068                                                 ;SOCIETE GENERALE ITEC/SGS/CAS                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
282      ;Locatie client                                         ;282      ;CL0069                                                 ;SOCIETE GENERALE GBSU/EQD/LDP                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
283      ;Locatie client                                         ;283      ;CL0070                                                 ;SOCIETE GENERALE DEVL/PPO/TRF                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
284      ;Locatie client                                         ;284      ;CL0071                                                 ;SOCIETE GENERALE SAFE                                                                                                                                      ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
285      ;Locatie client                                         ;285      ;CL0072                                                 ;SOCIETE GENERALE BSC/COO/PMO                                                                                                                               ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
286      ;Locatie client                                         ;286      ;CL0076                                                 ;SOCIETE GENERALE ITEC/PRD/APS                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
287      ;Locatie client                                         ;287      ;CL0077                                                 ;SOCIETE GENERALE ITEC/DRP/FIC                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10884    ;Locatie client                                         ;288      ;CL0078                                                 ;SOCIETE GENERALE DFIN/COO/GES                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
289      ;Locatie client                                         ;289      ;CL0079                                                 ;SOCIETE GENERALE BSC/FIN                                                                                                                                   ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
290      ;Locatie client                                         ;290      ;CL0080                                                 ;SOCIETE GENERALE ITEC/CTT/FIC                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
291      ;Locatie client                                         ;291      ;CL0082                                                 ;SOCIETE GENERALE BSC/HR                                                                                                                                    ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10792    ;Locatie client                                         ;292      ;CL0083                                                 ;SOCIETE GENERALE DFIN/GBI/CEG/NTE/RDJ/CoA                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
293      ;Locatie client                                         ;293      ;CL0084                                                 ;SOCIETE GENERALE BSC/DSO                                                                                                                                   ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
294      ;Locatie client                                         ;294      ;CL0085                                                 ;SOCIETE GENERALE ITEC/PRD/QPS                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
295      ;Locatie client                                         ;295      ;CL0086                                                 ;SOCIETE GENERALE ITEC/PRD/PRS                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
296      ;Locatie client                                         ;296      ;CL0088                                                 ;SOCIETE GENERALE RESG/GTS/DWS/DVF                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
297      ;Locatie client                                         ;297      ;CL0089                                                 ;SOCIETE GENERALE DFIN/DOM/PTP/CSP/HR Inactiv                                                                                                               ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
298      ;Locatie client                                         ;298      ;CL0090                                                 ;SOCIETE GENERALE GBSU/CLD/DIT                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
299      ;Locatie client                                         ;299      ;CL0091                                                 ;SOCIETE GENERALE BDDF/HR                                                                                                                                   ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
300      ;Locatie client                                         ;300      ;CL0093                                                 ;SOCIETE GENERALE GBIS/MACC/DNA/PIL                                                                                                                         ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
301      ;Locatie client                                         ;301      ;CL0094                                                 ;SOCIETE GENERALE PARIS IIMAT                                                                                                                               ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10791    ;Locatie client                                         ;302      ;CL0096                                                 ;SOCIETE GENERALE DFIN/DOM/FPR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
303      ;Locatie client                                         ;303      ;CL0097                                                 ;SOCIETE GENERALE DFIN/COM/NAC                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10790    ;Locatie client                                         ;304      ;CL0098                                                 ;SOCIETE GENERALE DFIN/DOM                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10789    ;Locatie client                                         ;305      ;CL0101                                                 ;SOCIETE GENERALE DFIN/COM/REG/FINREP/SOLO                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
306      ;Locatie client                                         ;306      ;CL0111                                                 ;SOCIETE GENERALE RESG/GTS/TSI                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
307      ;Locatie client                                         ;307      ;CL0092                                                 ;SOCIETE GENERALE DCPE                                                                                                                                      ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
308      ;Locatie client                                         ;308      ;CL0114                                                 ;SOCIETE GENERALE GTPS/COO/DIR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
309      ;Locatie client                                         ;309      ;CL0115                                                 ;SOCIETE GENERALE ITIM/STARTBUC                                                                                                                             ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
310      ;Locatie client                                         ;310      ;CL0122                                                 ;SOCIETE GENERALE ITIM/SRO/EBS                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
311      ;Locatie client                                         ;311      ;CL0123                                                 ;SOCIETE GENERALE ITIM/CSM/EBS                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
312      ;Locatie client                                         ;312      ;CL0124                                                 ;SOCIETE GENERALE ITIM/GSI/SFI/EBS                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
313      ;Locatie client                                         ;313      ;CL0125                                                 ;SOCIETE GENERALE RESG/TPS/SGC                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
314      ;Locatie client                                         ;314      ;CL0126                                                 ;SOCIETE GENERALE OPER/MGT                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
315      ;Locatie client                                         ;315      ;CL0127                                                 ;SOCIETE GENERALE GTS/DWS/USU/DEF                                                                                                                           ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
316      ;Locatie client                                         ;316      ;CL0128                                                 ;SOCIETE GENERALE DFIN GBI CMA                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
317      ;Locatie client                                         ;317      ;CL0132                                                 ;SOCIETE GENERALE RESG/TPS/GDO                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
318      ;Locatie client                                         ;318      ;CL0133                                                 ;SOCIETE GENERALE OPER/REG/PJT                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
319      ;Locatie client                                         ;319      ;CL0134                                                 ;SOCIETE GENERALE BDDF/SEG/REG/KYC                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
320      ;Locatie client                                         ;320      ;CL0142                                                 ;SOCIETE GENERALE BSC/ISA                                                                                                                                   ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
321      ;Locatie client                                         ;321      ;CL0143                                                 ;SOCIETE GENERALE PBA PRIV/HQE/MSD/MKG                                                                                                                      ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
322      ;Locatie client                                         ;322      ;CL0144                                                 ;SOCIETE GENERALE RESG/GTS/TFO/IT                                                                                                                           ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
323      ;Locatie client                                         ;323      ;CL0145                                                 ;SOCIETE GENERALE IGAD/COO                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
324      ;Locatie client                                         ;324      ;CL0146                                                 ;SOCIETE GENERALE ITIM/PRF                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
325      ;Locatie client                                         ;325      ;CL0147                                                 ;SOCIETE GENERALE ITEC/MKT/EXF                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
326      ;Locatie client                                         ;326      ;CL0148                                                 ;SOCIETE GENERALE ITEC/MKT/FXC                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
327      ;Locatie client                                         ;327      ;CL0150                                                 ;SOCIETE GENERALE GBSU/EQD/EXO                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
328      ;Locatie client                                         ;328      ;CL0151                                                 ;SOCIETE GENERALE GBSU/EQD/VOL                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
329      ;Locatie client                                         ;329      ;CL0152                                                 ;SOCIETE GENERALE GBSU/EQD/EMM                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
330      ;Locatie client                                         ;330      ;CL0153                                                 ;SOCIETE GENERALE GBSU/EQD/DLP                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
331      ;Locatie client                                         ;331      ;CL0154                                                 ;SOCIETE GENERALE ITEC/MKT/SEP                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
332      ;Locatie client                                         ;332      ;CL0155                                                 ;SOCIETE GENERALE DFIN/DOM/ACM/RPA                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
333      ;Locatie client                                         ;333      ;CL0156                                                 ;SOCIETE GENERALE DFIN/DOM/ACR/RPA                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
334      ;Locatie client                                         ;334      ;CL0157                                                 ;SOCIETE GENERALE DFIN/COM/REG/RPA                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
336      ;Locatie client                                         ;336      ;CL0159                                                 ;SOCIETE GENERALE ITIM/LEO                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
337      ;Locatie client                                         ;337      ;CL0160                                                 ;SOCIETE GENERALE ITIM/CSC                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
338      ;Locatie client                                         ;338      ;CL0161                                                 ;SOCIETE GENERALE ITIM/CSB/CRE                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
339      ;Locatie client                                         ;339      ;CL0162                                                 ;SOCIETE GENERALE ITIM/ASI                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
340      ;Locatie client                                         ;340      ;CL0165                                                 ;SOCIETE GENERALE ITIM/CSB/SIEBEL                                                                                                                           ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
341      ;Locatie client                                         ;341      ;CL0166                                                 ;SOCIETE GENERALE ITIM/CSM/EXP                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
342      ;Locatie client                                         ;342      ;CL0167                                                 ;SOCIETE GENERALE BSC/ARC                                                                                                                                   ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
343      ;Locatie client                                         ;343      ;CL0168                                                 ;SOCIETE GENERALE ITIM/SRO/SEC                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
344      ;Locatie client                                         ;344      ;CL0169                                                 ;SOCIETE GENERALE ITIM/PRF/MOD                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
345      ;Locatie client                                         ;345      ;CL0170                                                 ;SOCIETE GENERALE RESG/GTS/SEC/SOC                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
346      ;Locatie client                                         ;346      ;CL0164                                                 ;SOCIETE GENERALE BDDF ? SSC FIN                                                                                                                            ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
347      ;Locatie client                                         ;347      ;CL0172                                                 ;SOCIETE GENERALE IBFS/TPS/SOL                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
348      ;Locatie client                                         ;348      ;CL0173                                                 ;SOCIETE GENERALE RESG/TPS /GDO ( HR )                                                                                                                      ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
350      ;Locatie client                                         ;350      ;CL0181                                                 ;SOCIETE GENERALE GBIS/HUMN/COO                                                                                                                             ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10788    ;Locatie client                                         ;351      ;CL0059                                                 ;SOCIETE GENERALE LUXEMBOURG                                                                                                                                ;SOCIETE GENERALE LUXEMBOURG                                                                                                                                ;MCL0011                                                ;
352      ;Locatie client                                         ;352      ;CL0116                                                 ;SOCIETE GENERALE BANK&TRUST/FIN/VILD 2                                                                                                                     ;SOCIETE GENERALE LUXEMBOURG                                                                                                                                ;MCL0011                                                ;
353      ;Locatie client                                         ;353      ;CL0117                                                 ;SOCIETE GENERALE BANK&TRUST/FIN/VILD 3                                                                                                                     ;SOCIETE GENERALE LUXEMBOURG                                                                                                                                ;MCL0011                                                ;
354      ;Locatie client                                         ;354      ;CL0103                                                 ;SOCIETE GENERALE AMERICAS SECURITIES LLC                                                                                                                   ;SOCIETE GENERALE NEW YORK BRANCH                                                                                                                           ;MCL0025                                                ;
355      ;Locatie client                                         ;355      ;CL0174                                                 ;BANQUE COURTOIS COP                                                                                                                                        ;BANQUE COURTOIS                                                                                                                                            ;MCLI0005                                               ;
356      ;Locatie client                                         ;356      ;CL0175                                                 ;BANQUE KOLB COP                                                                                                                                            ;BANQUE KOLB                                                                                                                                                ;MCL0037                                                ;
357      ;Locatie client                                         ;357      ;CL0176                                                 ;BANQUE LAYDERNIER COP                                                                                                                                      ;BANQUE LAYDERNIER                                                                                                                                          ;MCL0038                                                ;
358      ;Locatie client                                         ;358      ;CL0177                                                 ;BANQUE NUGER COP                                                                                                                                           ;BANQUE NUGER                                                                                                                                               ;MCL0039                                                ;
359      ;Locatie client                                         ;359      ;CL0178                                                 ;BANQUE RHONE ALPES COP                                                                                                                                     ;BANQUE RHONE ALPES                                                                                                                                         ;MCL0040                                                ;
360      ;Locatie client                                         ;360      ;CL0179                                                 ;BANQUE TARNEAUD COP                                                                                                                                        ;BANQUE TARNEAUD                                                                                                                                            ;MCL0041                                                ;
361      ;Locatie client                                         ;361      ;CL0180                                                 ;SMC COP                                                                                                                                                    ;SOCIETE MARSEILLAISE DE CREDIT                                                                                                                             ;MCL0042                                                ;
10787    ;Locatie client                                         ;362      ;CL0095                                                 ;CREDIT DU NORD RBDF FIN                                                                                                                                    ;CREDIT DU NORD                                                                                                                                             ;MCL0044                                                ;
10786    ;Locatie client                                         ;363      ;CL0001                                                 ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
10785    ;Locatie client                                         ;364      ;CL0002                                                 ;SOCIETE GENERALE DI MILANO                                                                                                                                 ;SOCIETE GENERALE DI MILANO                                                                                                                                 ;MCL0002                                                ;
10784    ;Locatie client                                         ;365      ;CL0003                                                 ;SOCIETE GENERALE BRUSSELS BRANCH                                                                                                                           ;SOCIETE GENERALE BRUSSELS BRANCH                                                                                                                           ;MCL0003                                                ;
10783    ;Locatie client                                         ;366      ;CL0004                                                 ;SOCIETE GENERALE AMSTERDAM BRANCH                                                                                                                          ;SOCIETE GENERALE AMSTERDAM BRANCH                                                                                                                          ;MCL0004                                                ;
